transaction_id,timestamp,description,payee,amount,channel
TX075,2025-12-19 09:30,Coffee shop,Cafe Coffee Day,300,DEBIT_CARD
TX076,2025-12-20 18:00,Dinner,Swiggy,620,UPI
TX077,2025-12-21 12:00,Grocery shopping,Fresh Mart,1090,UPI
TX078,2025-12-22 10:00,Pharmacy,MedPlus,510,UPI
TX079,2025-12-23 09:15,Mobile recharge,Airtel,399,UPI
TX080,2025-12-24 11:00,Online shopping,Amazon India,4200,DEBIT_CARD
TX081,2025-12-25 15:00,Grocery shopping,Fresh Mart,1800,UPI
TX082,2025-12-26 16:00,Fuel,Indian Oil,3200,DEBIT_CARD
TX083,2025-12-27 10:00,Coffee shop,Starbucks,410,DEBIT_CARD
TX084,2025-12-28 18:00,Dinner,Zomato,680,UPI
TX085,2025-12-29 12:00,Online shopping,Flipkart,1550,DEBIT_CARD
TX086,2025-12-30 09:30,Grocery shopping,Fresh Mart,1200,UPI
TX087,2025-12-31 11:00,Internet bill,Jio Fiber,999,NETBANKING
TX088,2026-01-01 10:00,Grocery shopping,Fresh Mart,1100,UPI
TX089,2026-01-02 12:00,Mobile recharge,Airtel,399,UPI
TX090,2026-01-03 09:15,Fuel,Indian Oil,2850,DEBIT_CARD
TX091,2026-01-04 11:30,Coffee shop,Cafe Coffee Day,330,DEBIT_CARD
TX092,2026-01-05 14:00,Online shopping,Amazon India,2050,DEBIT_CARD
TX093,2026-01-06 18:00,Dinner,Swiggy,560,UPI
TX094,2026-01-07 09:00,Grocery shopping,Fresh Mart,1140,UPI
TX095,2026-01-08 12:00,Pharmacy,MedPlus,420,UPI
