transaction_id,timestamp,description,payee,amount,channel
TX082,2025-12-28 18:30,Dinner,Zomato,650,UPI
TX083,2025-12-29 09:30,Coffee shop,Barista,380,DEBIT_CARD
TX084,2025-12-30 10:00,Grocery shopping,City Mart,1200,UPI
TX085,2025-12-31 09:00,Internet bill,BSNL Fiber,799,NETBANKING
TX086,2026-01-01 10:00,New Year grocery,City Mart,1650,UPI
TX087,2026-01-02 09:15,Fuel,HPCL Fuel Station,2800,DEBIT_CARD
TX088,2026-01-03 08:45,Salary credit,Meridian Software Pvt Ltd,72000,BANK_TRANSFER
TX089,2026-01-04 12:00,Rent payment,Skyline Housing,20000,NETBANKING
TX090,2026-01-05 09:00,Grocery shopping,City Mart,1120,UPI
TX091,2026-01-06 14:00,Online shopping,Flipkart,1850,DEBIT_CARD
TX092,2026-01-07 18:30,Dinner,Swiggy,610,UPI
TX093,2026-01-08 11:00,Mobile recharge,Vodafone,299,UPI
TX094,2026-01-09 09:30,Coffee shop,Barista,320,DEBIT_CARD
TX095,2026-01-10 10:00,Grocery shopping,City Mart,1080,UPI
TX096,2026-01-11 09:15,Pharmacy,Apollo Pharmacy,420,UPI
TX097,2026-01-12 16:00,Online shopping,Amazon India,1920,DEBIT_CARD
TX098,2026-01-13 18:00,Dinner,Zomato,540,UPI
TX099,2026-01-14 09:30,Fuel,HPCL Fuel Station,2750,DEBIT_CARD
TX100,2026-01-15 10:00,Electricity bill,MSEDCL,2050,NETBANKING
TX101,2026-01-16 09:15,Grocery shopping,City Mart,1100,UPI
TX102,2026-01-17 11:30,Coffee shop,Barista,310,DEBIT_CARD
TX103,2026-01-18 09:00,Mobile recharge,Vodafone,299,UPI
TX104,2026-01-19 02:14,Transfer - urgent,TechnoTrade Solutions,45000,IMPS
TX105,2026-01-19 07:38,Payment,TechnoTrade Solutions,38000,IMPS
TX106,2026-01-19 11:22,Invoice payment,TechnoTrade Solutions,29500,IMPS
TX107,2026-01-19 18:45,Grocery shopping,City Mart,1050,UPI
TX108,2026-01-20 09:30,Online shopping,Amazon India,1800,DEBIT_CARD
TX109,2026-01-20 13:55,Balance transfer,TechnoTrade Solutions,52000,IMPS
TX110,2026-01-21 09:15,Fuel,HPCL Fuel Station,2900,DEBIT_CARD
TX111,2026-01-21 10:00,Grocery shopping,City Mart,1090,UPI
TX112,2026-01-22 18:30,Dinner,Swiggy,570,UPI
